you
choose
getting
choice
until
sadness
shine
easy
very
play
ooooooh
win
fallin'
step
circus
listen
sound
waiting
takes
everywhere
grievin'
letting
uuuuuuuuuuh
i’ll
jealousy
sitting
childhood
shot
carry
composure
beggin'
asking
nobody's
yesterday
regret
window
we'd
law
kid
passion
run
learned
hands
party
disco
doctor
belong
thrill
repeat
between
next
d
giving
men
everybody's
worth
till
talking
knowing
walked
running
blue
big
tree
small
upon
couldn't
spoken
sparrow
wooh
kissed
lo
butterflies
history
haunting
use
skin
throw
race
knees
lust
janet
brothers
sign
shows
stevie
follow
drop
treat
laughing
reach
l
watching
looked
three
scene
2x
moonlight
tellin'
sayin'
doing
doot
girlfriend
straighten
especially
thinkin'
boogie
fever
x2
king
dreaming
awhile
cinderella
saying
waste
new
somewhere
tells
tender
finally
buy
sister
kicking
'round
ben
'bout
cryin'
instead
what's
yet
old
street
moment
kind
anywhere
heard
trying
et
tout
si
uuuuuuh
rise
already
decide
brother's
dude
threatened
lesson
stalking
explain
caught
dancing
ha
daddy
romance
bet
sunset
gon'
confused
quench
bothered
create
feels
peace
phone
sorrow
stars
clearer
starting
blind
kids
piya
naku
speedin'
known
telling
bye
melodie
thinking
top
work
c
walls
eye
twice
careful
against
okay
proud
feed
pride
c'mon
sin
enjoy
five
nine
guy
signed
prayers
sounds
mama
angels
magic
broken
along
standing
love's
promised
loved
troubles
near
within
send
shoo
yours
ourselves
push
begin
rainbow
greatest
they'll
clouds
since
started
tweet
there'll
road
prayer
fill
past
story
darkness
pitbull
bien
cuando
complain
uuh
cheater
one’s
let’s
won’t
‘til
stick
legacy
dies
glory
stories
searching
fake
soldier
s
dog
sleep
means
confidence
joy
bear
injustice
lying
saturday
entire
seemed
wanting
police
self
minds
dang
bedroom
carpet
bloodstains
apartment
crescendo
smooth
shoot
shame
half
leaving
year
return
fast
everytime
walking
caress
tenderness
movie
kick
funky
hell
open
killer
different
ready
loose
madness
heat
places
catch
surely
shall
meant
princess
disappear
ti
tryin'
life's
lovers
winds
bed
second
restless
wild
space
lights
lovely
evening
hearts
clear
child's
supposed
she'll
grace
you'd
ends
school
fantasy
full
above
winter
cries
someday
rocks
sharing
realize
hello
despair
empty
late
future
stayed
house
anytime
